"Close","Close(-1)","High(-1)","Low(-1)"
1.834,1.8144,1.8149,1.7328
1.831,1.834,1.8344,1.8119
1.8194,1.831,1.8453,1.798
1.8389,1.8194,1.8194,1.7675
1.874,1.8389,1.8444,1.8156
1.86,1.874,1.874,1.8148
1.842,1.86,1.8768,1.8295
1.8123,1.842,1.8516,1.8038
1.8116,1.8123,1.8477,1.8003
1.8017,1.8116,1.8134,1.7525
1.7846,1.8017,1.8064,1.7592
1.7868,1.7846,1.809,1.7613
1.7854,1.7868,1.7956,1.7349
1.7723,1.7854,1.7854,1.7353
1.7636,1.7723,1.781,1.7308
1.7669,1.7636,1.7703,1.7213
1.8011,1.7669,1.7719,1.7207
1.7785,1.8011,1.8045,1.7382
1.78,1.7785,1.799,1.7374
1.782,1.78,1.7921,1.7324
1.8078,1.782,1.784,1.7276
1.7909,1.8078,1.8078,1.7306
1.7989,1.7909,1.809,1.7607
1.7745,1.7989,1.809,1.7921
1.7734,1.7745,1.7931,1.7401
1.767,1.7734,1.7734,1.721
1.765,1.767,1.7748,1.7251
1.7683,1.765,1.7819,1.7293
1.7564,1.7683,1.7719,1.7158
1.76,1.7564,1.7619,1.7138
1.756,1.76,1.7625,1.7088
1.766,1.756,1.76,1.7109
1.77,1.766,1.766,1.7019
1.7826,1.77,1.7748,1.7131
1.7863,1.7826,1.7842,1.7103
1.7737,1.7863,1.7863,1.7317
1.7714,1.7737,1.7964,1.7424
1.7602,1.7714,1.7765,1.7237
1.7605,1.7602,1.7795,1.7308
1.7656,1.7605,1.7642,1.7078
1.7607,1.7656,1.7707,1.7232
1.7623,1.7607,1.7681,1.7123
1.7648,1.7623,1.769,1.7187
1.7585,1.7648,1.7694,1.7198
1.7429,1.7585,1.7631,1.708
1.7537,1.7429,1.7539,1.704
1.7537,1.7537,1.76,1.7012
1.7526,1.7537,1.7586,1.7084
1.7535,1.7526,1.7554,1.702
1.7075,1.7535,1.7581,1.7026
1.751,1.7075,1.7581,1.7076
1.76,1.751,1.7615,1.698
